ind,Province/State,Country/Region,Lat,Long,datetime,confirmed_case
554,Taiwan,Taiwan,23.6978,120.9605,2020-01-29,8.0
555,Washington,US,47.7511,-120.74,2020-01-29,1.0
556,Illinois,US,40.6331,-89.3985,2020-01-29,1.0
557,California,US,36.7783,-119.41799999999999,2020-01-29,2.0
558,Arizona,US,34.0489,-111.094,2020-01-29,1.0
559,Macau,Macau,22.1987,113.5439,2020-01-29,7.0
560,Hong Kong,Hong Kong,22.3193,114.1694,2020-01-29,10.0
561,,Singapore,1.3521,103.8198,2020-01-29,10.0
562,,Vietnam,21.0278,105.8342,2020-01-29,2.0
563,,France,46.2276,2.2137,2020-01-29,5.0
564,,Nepal,28.3949,84.124,2020-01-29,1.0
565,,Malaysia,4.2105,101.9758,2020-01-29,7.0
566,Ontario,Canada,43.6532,-79.3832,2020-01-29,2.0
567,British Columbia,Canada,49.2827,-123.12100000000001,2020-01-29,1.0
568,New South Wales,Australia,-33.8688,151.2093,2020-01-29,4.0
569,Victoria,Australia,-37.8136,144.9631,2020-01-29,2.0
570,Queensland,Australia,-27.4698,153.0251,2020-01-29,1.0
571,,Cambodia,12.5657,104.991,2020-01-29,1.0
572,,Sri Lanka,7.8731,80.7718,2020-01-29,1.0
573,Bavaria,Germany,51.1657,10.4515,2020-01-29,4.0
574,,Finland,61.9241,25.7482,2020-01-29,1.0
575,,United Arab Emirates,23.4241,53.8478,2020-01-29,4.0
576,,Philippines,12.8797,121.774,2020-01-29,1.0
577,,India,20.5937,78.9629,2020-01-29,1.0
585,Anhui,Mainland China,31.825709999999997,117.2264,2020-01-30,200.0
586,Beijing,Mainland China,40.18238,116.4142,2020-01-30,114.0
587,Chongqing,Mainland China,30.05718,107.874,2020-01-30,182.0
588,Fujian,Mainland China,26.07783,117.9895,2020-01-30,101.0
589,Gansu,Mainland China,36.0611,103.8343,2020-01-30,26.0
590,Guangdong,Mainland China,23.33841,113.42200000000001,2020-01-30,354.0
591,Guangxi,Mainland China,23.829079999999998,108.7881,2020-01-30,78.0
592,Guizhou,Mainland China,26.81536,106.8748,2020-01-30,12.0
593,Hainan,Mainland China,19.19673,109.7455,2020-01-30,46.0
594,Hebei,Mainland China,38.0428,114.5149,2020-01-30,65.0
595,Heilongjiang,Mainland China,47.861999999999995,127.7622,2020-01-30,44.0
596,Henan,Mainland China,33.882020000000004,113.61399999999999,2020-01-30,278.0
597,Hubei,Mainland China,30.975640000000002,112.2707,2020-01-30,4903.0
598,Hunan,Mainland China,27.610409999999998,111.7088,2020-01-30,277.0
599,Inner Mongolia,Mainland China,44.09448,113.9456,2020-01-30,19.0
600,Jiangsu,Mainland China,32.97027,119.464,2020-01-30,129.0
601,Jiangxi,Mainland China,27.614009999999997,115.7221,2020-01-30,162.0
602,Jilin,Mainland China,43.66657,126.1917,2020-01-30,14.0
603,Liaoning,Mainland China,41.292840000000005,122.6086,2020-01-30,41.0
604,Ningxia,Mainland China,37.26923,106.1655,2020-01-30,17.0
605,Qinghai,Mainland China,35.65945,96.02564,2020-01-30,8.0
606,Shaanxi,Mainland China,35.19165,108.8701,2020-01-30,63.0
607,Shandong,Mainland China,36.34377,118.1529,2020-01-30,158.0
